system number ,exp. redox pot. [V],implicit solvation redox pot. [V],implicit + ML correction redox pot. [V]
1,1.00,1.022,0.995
2,1.01,0.973,0.968
3,1.20,0.974,1.109
4,1.43,1.360,1.456
5,1.58,1.420,1.469
6,1.58,1.446,1.347
7,1.63,1.586,1.465
8,1.72,1.617,1.518
9,0.51,0.938,1.123
10,0.51,0.434,0.458
11,0.60,0.499,0.659
12,0.79,0.518,0.761
13,0.85,0.878,0.819
14,0.84,0.630,0.788
15,0.90,0.982,1.020
16,0.90,1.956,2.186
17,0.95,0.781,0.909
18,0.96,0.865,1.037
19,1.00,0.844,0.916
20,1.00,0.709,0.887
21,1.01,0.786,1.029
22,1.02,0.866,1.088
23,1.02,0.956,0.961
24,1.06,0.862,0.964
25,1.07,0.979,0.994
26,1.09,0.876,1.003
27,1.09,1.044,1.005
28,1.10,0.943,1.006
29,1.11,1.034,1.198
30,1.11,1.184,1.282
31,1.25,1.153,1.053
32,1.27,1.128,1.153
33,1.28,1.146,1.214
34,1.30,1.254,1.348
35,1.30,1.156,1.071
36,1.30,1.198,1.288
37,1.33,1.199,1.217
38,1.34,0.869,0.937
39,1.34,1.242,1.210
40,1.46,1.393,1.301
41,1.58,1.401,1.433
42,1.68,1.486,1.350
43,1.73,1.494,1.474
44,1.86,1.621,1.768
45,0.50,0.579,0.420
46,0.53,0.541,0.485
47,0.71,0.718,0.767
48,0.76,0.760,0.589
49,0.77,0.748,0.693
50,0.79,0.848,0.805
51,0.99,1.169,1.019
52,1.05,1.242,1.120
53,1.44,1.614,1.227
54,0.66,0.506,0.532
55,0.68,0.758,0.749
56,0.79,0.644,0.676
57,0.83,0.670,0.728
58,0.86,0.981,1.002
59,0.87,0.893,0.799
60,1.17,1.097,1.105
61,1.24,1.074,1.038
62,1.86,1.547,1.211
63,-0.32,-0.390,-0.158
64,-0.16,-0.069,-0.351
65,-0.10,-0.246,-0.178
66,0.10,0.163,0.212
67,0.17,0.235,0.136
68,0.19,0.199,0.327
69,0.20,0.258,0.393
70,0.22,0.389,0.272
71,0.24,0.116,0.045
72,0.25,0.549,0.582
73,0.28,0.253,0.276
74,0.30,0.611,0.664
75,0.31,0.402,0.129
76,0.45,0.524,0.578
77,0.64,0.506,0.550
78,0.51,0.738,0.649
79,0.52,0.937,0.776
80,0.64,1.078,0.724
81,0.69,0.912,0.803
82,0.80,1.143,1.073
83,0.80,1.055,0.997
84,0.82,1.293,1.147
85,0.87,1.276,1.175
86,0.92,1.199,0.934
87,1.38,1.835,1.461
88,0.17,0.837,0.540
89,0.27,0.291,0.180
90,0.31,0.745,0.505
91,0.33,0.307,0.254
92,0.39,1.196,0.793
93,0.40,0.469,0.433
94,0.40,0.748,0.694
95,0.43,1.240,0.969
96,0.51,1.361,1.278
97,0.52,0.628,0.510
98,0.98,1.194,1.092
99,1.09,1.142,0.886
100,1.10,1.174,1.098
101,1.30,1.397,1.107
102,1.50,1.507,1.404
103,1.57,1.866,1.809
104,-3.12,-1.444,-2.142
105,-2.57,-1.237,-1.784
106,-2.58,-1.844,-2.370
107,-2.59,-1.842,-2.610
108,-2.56,-1.422,-2.554
109,-2.46,-1.665,-2.915
110,-2.10,-1.262,-1.755
111,-1.87,-1.804,-1.860
112,-1.70,-1.182,-1.897
113,-1.26,-0.903,-1.489
114,1.46,1.748,1.526
115,1.51,1.794,1.582
116,1.53,1.746,1.704
117,1.86,1.904,1.866
118,1.97,1.986,1.922
119,-2.92,-3.690,-3.052
120,-2.88,-3.703,-3.196
121,-2.58,-2.739,-2.521
122,-2.57,-2.666,-2.518
123,-2.49,-2.485,-2.609
124,-2.37,-2.498,-2.476
125,-2.36,-2.468,-2.330
126,-2.30,-2.210,-2.068
127,-2.06,-1.980,-2.116
128,-1.50,-1.379,-1.540
129,1.31,1.540,1.194
130,1.42,1.443,1.276
131,-2.65,-2.652,-2.674
132,-2.55,-2.614,-2.674
133,-2.54,-2.573,-2.461
134,-2.52,-2.593,-2.249
135,0.33,0.164,-0.197
136,0.86,0.786,0.887
137,0.88,0.809,0.794
138,1.00,0.989,0.917
139,1.03,0.925,0.992
140,1.22,1.303,1.278
141,-2.97,-3.857,-3.128
142,-2.80,-2.914,-2.651
143,-2.77,-2.791,-2.628
144,-2.75,-2.839,-2.569
145,-2.55,-2.659,-2.610
146,-2.55,-2.617,-2.562
147,-2.53,-2.638,-2.801
148,-2.49,-1.852,-2.293
149,-2.38,-2.356,-2.088
150,-1.57,-1.480,-1.693
151,2.02,1.890,2.005
152,0.62,0.147,-0.061
